"region","brains.average.rank","final.rank","G1.fMRI","T1T2ratio","Evolution.Expansion","CBF","AllometricScaling.PNC20mm","PET.AG","Externopyramidisation","Cortical.Thickness","PC1.AHBA","PC1.Neurosynth","regions_ColeAnt12","ColeAnticevicNetPartition","ColeAntNet_name","array_NetGroup","GeneExp_PC1","GeneExp_PC2","GeneExp_PC3","GeneExp_PC4","GeneExp_PC5"
"V1",29.3,2,-2.972374845,1.546116691,-1.726372488,59.0596163,0.798765536,-0.527573129,0.402074598,1.946323365,-16.17552037,5.313402818,"L_V1",1,"Visual1","Sensory",-2.12310967728943,1.73747582683012,-0.526222615812137,-0.608863621462518,-0.808322237334184
"MST",65.6,39,-4.104730087,1.498078728,0.425740897,65.50368981,1.215975892,-0.131118717,0.289589301,2.386512889,-4.576881218,-10.91652637,"L_MST",2,"Visual2","Sensory",-0.909986678950649,0.323839567966738,-0.805383220849668,0.0912624593633469,-0.487489190790914
"V6",49.9,17.5,-4.465321892,1.506699605,-1.23317759,56.30642427,1.069532266,-0.258507918,0.127838834,2.119732102,-12.95819324,1.154318187,"L_V6",2,"Visual2","Sensory",-1.71813506076,-0.546935304440367,-1.08476550854707,-0.523324042784613,0.357860362432737
"V2",30.4,3,-3.68021356,1.508880602,-1.404348526,59.30634295,0.867264414,-0.383811304,0.363391108,2.028844171,-14.21235625,1.154318187,"L_V2",2,"Visual2","Sensory",-1.82005779359032,1.27428722379376,-0.0875310467790416,-0.498900232803759,-1.27010895711928
"V3",36.2,4,-3.76028501,1.480787196,-1.184210078,58.10154586,0.953862267,-0.141583439,0.413851526,2.185817791,-13.49744777,1.154318187,"L_V3",2,"Visual2","Sensory",-1.49213005178654,1.07819755814696,-0.116828842682003,-0.318373573962799,-0.824249693923631
"V4",48.05,14,-3.996609343,1.458808479,-0.985882,56.8548388,1.055746886,-0.104993972,0.374659681,2.270075904,-7.817285816,9.472487448,"L_V4",2,"Visual2","Sensory",-1.41270194806149,0.623804196081689,-0.0318553820038026,0.1539445700129,-0.202596240109066
"V8",46.55,12,-4.249206165,1.43834413,-1.471324348,50.86276892,1.064896103,-0.346299975,0.534154983,2.647230513,-7.918726251,16.38000802,"L_V8",2,"Visual2","Sensory",-0.863195485604947,-0.746311328401713,-0.310990389441808,2.347514651238,-1.04917576458189
"4",46.8,13,-5.046522121,1.619256505,-0.292924653,54.27478921,0.913501367,0.02840871,0.199747375,2.714827562,-8.675091728,-26.29931758,"L_4",3,"Somatomotor","Sensory",-0.916957339776444,0.0913590550511854,0.710149516438244,0.889364473828503,1.66799482911031
"3b",44.5,7,-5.042306568,1.542989769,0.381761774,60.56327932,0.943518409,-0.075461203,0.185176394,1.77471346,-11.42885518,-26.29931758,"L_3b",3,"Somatomotor","Sensory",-1.47798832709017,-0.0258618782985683,0.13335455433375,0.585904986644773,0.688779681734505
"FEF",86.8,85,-2.514140036,1.379289414,0.473475374,69.12178123,0.957790569,0.218053631,0.133034564,2.59206866,0.522845308,-34.24741033,"L_FEF",4,"Cingulo-Opercular","Transition",0.159549471398379,0.401928151714404,1.75416263994318,0.834282163002794,1.62045604083722
"PEF",104.1,117,-1.490084826,1.333456301,0.328800611,71.63632261,1.182336384,0.437201659,0.159482344,2.547461434,-1.360551369,-18.16523946,"L_PEF",5,"Dorsal-attention","Transition",-0.0726895841677284,-1.8749218493904,1.26366848667379,2.58557738629696,2.46751568852662
"55b",103.3,114.5,0.339662595,1.327031631,0.352634066,73.80805539,0.945761494,0.36140819,0.110952003,2.782218596,-1.770786318,-25.45244708,"L_55b",6,"Language","Transition",-0.338544162422932,-0.774559916742559,2.0536335957342,1.39570320253034,1.4877724175301
"V3A",45.55,9,-4.445568351,1.495011318,-0.815179573,59.02908699,0.989900153,-0.087938621,0.246919662,2.116969061,-12.80032321,9.472487448,"L_V3A",2,"Visual2","Sensory",-1.65396951450052,0.471016076092307,0.516359648592263,0.287907149583045,-0.147814355984406
"RSC",76.35,63,2.112520764,1.530769746,-0.424497868,59.40658947,0.900232266,0.346779427,0.159556193,2.220173347,-2.435055422,15.90270653,"L_RSC",7,"Frontoparietal","Transition",0.0649539785065707,0.484467999953044,1.87824061852904,1.49722754046497,-0.771576673332938
"POS2",89.45,89,2.699955953,1.392777109,-0.793220963,61.74554021,1.07893765,0.545591811,0.182412913,2.353252832,-8.459015843,30.65109486,"L_POS2",7,"Frontoparietal","Sensory",-0.916900587363458,0.422750052455409,0.949388953141708,-1.10003472087912,0.0613009380828941
"V7",58.8,26,-4.40788631,1.487759272,-0.370312222,58.71372977,1.132022026,0.221677494,0.194692369,2.255370215,-14.60482654,-7.024108335,"L_V7",2,"Visual2","Sensory",-1.37486763339212,1.36752223987146,1.25254029063949,0.0621870458236505,-0.579176683931631
"IPS1",57.4,24,-3.540225154,1.392684425,-0.554610606,57.25839256,1.066538877,0.327607129,0.249179755,2.213353659,-7.155812001,-12.46475727,"L_IPS1",2,"Visual2","Sensory",-1.82855271012827,-0.869982080479156,-0.736518182338161,-0.469522316996693,-0.332782813331814
"FFC",67.5,46,-2.967863044,1.360470332,-0.04108409,54.66642998,1.006039734,-0.365420853,0.752171587,2.831108957,-1.670216714,20.25503125,"L_FFC",2,"Visual2","Transition",-0.81820634924361,-0.0777885976329458,-0.535108935516056,0.914808890961668,-2.03362312981894
"V3B",49,15,-4.231006294,1.454751214,-0.475750962,55.98511528,1.118498962,0.12671229,0.362478934,2.218669691,-8.663214794,-2.06131302,"L_V3B",2,"Visual2","Sensory",-0.999743670175411,2.54319609049812,-0.450644657276338,0.448913092320434,1.09037394496241
